pilot, og_voice_actor, recent_voice_actor
Keith,Neil Ross,Steven Yeun
Lance,Michael Bell,Jeremy Shada
Alfor,Peter Cullen,Keith Ferguson Sean Teale
Isamu "Moody" Kurogane,Yu Mizushima,
