pilot, og_voice_actor, recent_voice_actor
Takashi "Shiro" Shirogane,,Josh Keaton
Sven Holgersson,Michael Bell,
Keith,Neil Ross,Steven Yeun
Zarkon,Jack Angel, Neil Kaplan
Shiro's Clone,,Josh Keaton
Akira "Chief" Kogane,Kazuhiko Inoue,

